srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
172.217.20.110,443,172.29.70.83,43368,tcp,SF,0.508129,8563,1719,117,64,0,0,http,134816.127084,27063.987207,10,16,1050,661,4150559087,1202094891,856.300000,107.437500,8,879,70.071913,58.746274,1775759140,1775759140,50.023662,33.875275,0.054972,0.054915,0.000057,0,13,28,0,0,28,28,28,28,0,28,28
172.217.20.110,443,172.29.70.83,43368,tcp,S1,0.000003,232,0,117,0,0,0,http,648719018.666667,0.000000,4,0,1050,0,4150567123,0,58.000000,0.000000,0,0,0.000000,0.000000,1775759141,1775759141,0.000954,0.000000,0.000000,0.000000,0.000000,0,9,29,0,0,29,29,29,29,1,29,29
172.217.20.110,443,172.29.70.83,43372,tcp,SF,0.961975,8778,1667,118,64,0,0,http,72999.828764,13863.148160,14,15,1050,682,482224487,1816064781,627.000000,111.133333,8,879,140.541333,142.357800,1775759142,1775759142,69.877459,68.712490,0.051019,0.050836,0.000183,0,14,30,0,0,30,30,30,30,0,30,30
172.217.20.110,443,172.29.70.83,43372,tcp,S1,0.000738,168,0,118,0,0,0,http,1820783.131783,0.000000,3,0,1050,0,482232522,0,56.000000,0.000000,0,0,0.000000,0.000000,1775759143,1775759143,0.738144,0.000000,0.000000,0.000000,0.000000,0,10,31,0,0,31,31,31,31,1,31,31
172.217.20.110,443,172.29.70.83,43372,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,682,0,1816065662,0.000000,52.000000,0,0,0.000000,0.000000,1775759143,1775759143,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,32,0,0,32,32,32,32,2,32,32
172.217.20.110,443,172.29.70.83,43368,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,661,0,1202095772,0.000000,52.000000,0,0,0.000000,0.000000,1775759141,1775759141,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,33,0,0,33,33,33,33,2,33,33
172.217.20.110,443,172.29.70.83,45058,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,504,0,35804945,0.000000,52.000000,0,0,0.000000,0.000000,1775759122,1775759122,0.000000,0.000000,0.000000,0.000000,0.000000,0,2,34,0,0,34,34,34,34,2,34,34
172.217.20.110,443,172.29.70.83,45062,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,504,0,3285753175,0.000000,52.000000,0,0,0.000000,0.000000,1775759124,1775759124,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,35,0,0,35,35,35,35,2,35,35
172.217.20.110,443,172.29.70.83,45064,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,504,0,3120949830,0.000000,52.000000,0,0,0.000000,0.000000,1775759125,1775759125,0.000000,0.000000,0.000000,0.000000,0.000000,0,4,36,0,0,36,36,36,36,2,36,36
172.217.20.110,443,172.29.70.83,47604,tcp,CON,0.000152,52,52,117,64,0,0,http,2734843.987461,2734843.987461,1,1,1050,680,1606996290,3090669143,52.000000,52.000000,0,0,0.000000,0.000000,1775759134,1775759134,0.000000,0.000000,0.000000,0.000000,0.000000,0,6,37,0,0,37,37,37,37,2,37,37
172.217.20.110,443,172.29.70.83,45070,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,504,0,3662377018,0.000000,52.000000,0,0,0.000000,0.000000,1775759127,1775759127,0.000000,0.000000,0.000000,0.000000,0.000000,0,5,38,0,0,38,38,38,38,2,38,38
172.217.20.110,443,172.29.70.83,47580,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,677,0,4229168422,0.000000,52.000000,0,0,0.000000,0.000000,1775759129,1775759129,0.000000,0.000000,0.000000,0.000000,0.000000,0,6,39,0,0,39,39,39,39,2,39,39
172.217.20.110,443,172.29.70.83,47620,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,502,0,3049988627,0.000000,52.000000,0,0,0.000000,0.000000,1775759137,1775759137,0.000000,0.000000,0.000000,0.000000,0.000000,0,7,40,0,0,40,40,40,40,2,40,40
172.217.20.110,443,172.29.70.83,47596,tcp,CON,0.000034,52,52,118,64,0,0,http,12201611.636364,12201611.636364,1,1,1050,661,1419872038,3044327846,52.000000,52.000000,0,0,0.000000,0.000000,1775759130,1775759130,0.000000,0.000000,0.000000,0.000000,0.000000,0,7,41,0,0,41,41,41,41,2,41,41
172.217.20.110,443,172.29.70.83,47612,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,504,0,3589331877,0.000000,52.000000,0,0,0.000000,0.000000,1775759135,1775759135,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,42,0,0,42,42,42,42,2,42,42
172.217.20.110,443,172.29.70.83,43356,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,680,0,1748462803,0.000000,52.000000,0,0,0.000000,0.000000,1775759139,1775759139,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,43,0,0,43,43,43,43,2,43,43
172.217.20.110,443,172.29.70.83,45056,tcp,CON,0.000569,52,52,118,64,0,0,http,730972.125681,730972.125681,1,1,1050,504,1450069216,2370013761,52.000000,52.000000,0,0,0.000000,0.000000,1775759120,1775759120,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,44,0,0,44,44,44,44,2,44,44
172.217.20.110,443,172.29.70.83,47602,tcp,S1,0.000000,0,52,0,64,0,0,http,0.000000,0.000000,0,1,0,502,0,1264769461,0.000000,52.000000,0,0,0.000000,0.000000,1775759132,1775759132,0.000000,0.000000,0.000000,0.000000,0.000000,0,10,45,0,0,45,45,45,45,2,45,45
